# contig	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
k99_242449	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Rikenellaceae: 1.00	Alistipes: 1.00	not classified
k99_242464	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 1.00	not classified
k99_242486	classified	based on 4/4 ORFs	1;131567;2;1783272;201174;1760;85004;31953;1678	1.00;1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96	Bacteria: 1.00	Actinobacteria: 0.96	Actinobacteria: 0.96	Bifidobacteriales: 0.96	Bifidobacteriaceae: 0.96	Bifidobacterium: 0.96	not classified
k99_242513	classified	based on 3/3 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 1.00	Bacteroides: 1.00	not classified
k99_242573	classified	based on 12/12 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96	Bacteria: 1.00	Bacteroidetes: 0.96	Bacteroidia: 0.96	Bacteroidales: 0.96	not classified	not classified	not classified
k99_242595	classified	based on 6/6 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.83;0.83;0.83;0.83;0.83	Bacteria: 1.00	Bacteroidetes: 0.83	Bacteroidia: 0.83	Bacteroidales: 0.83	not classified	not classified	not classified
k99_242729	classified	based on 5/6 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 1.00	not classified
k99_242772	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_242889	classified	based on 7/7 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 1.00	not classified
k99_242974	classified	based on 2/2 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	not classified	not classified	not classified
